objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
DNO-0146_Island-Market-Local-Products-3,,,Shooke Coffee roasters and Z’s Hot Sauce,image/jpeg,"Shelves showcasing local products from Shooke Coffee Roasters and Z's Hot Sauce, available at the Island Market.","Olsen, Rory (Photographer)",,3/24/2022,,single-page; photographs,Local foods; Coffee grounds; Hot pepper sauces; Barbecue sauce; Food--Packaging; Selling--Groceries; Grocery trade--United States; Utah--Logan Island; Small business,"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Rory Olsen, HIST 4020 class research, Spring 2022",,,DNO-0146_Island-Market-Local-Products-3,Published with permission of the copyright owner. Further reproduction prohibited without permission.,,Image;StillImage,eng,
DNO-0146_Island-Market-Local-Products-2,,,The Spirit Goat and The Shampoo Bar,image/jpeg,Shelves of products from two local business (The Spirit Goat and The Shampoo Bar) for sale at the Island Market.,"Olsen, Rory (Photographer)",,3/24/2022,,single-page; photographs,Soap; Shampoo; Selling--Groceries; Grocery trade--United States; Utah--Logan Island; Small business,"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Rory Olsen, HIST 4020 class research, Spring 2022",,,DNO-0146_Island-Market-Local-Products-2,Published with permission of the copyright owner. Further reproduction prohibited without permission.,,Image;StillImage,eng,
DNO-0146_Island-Market-Local-Products-1,,,"Superiors N Main, café Valley, Beehive, Sweet P’s, Dunford, Farr’s, and Aggie Chocolate Factory",image/jpeg,"Shelves at the Island Market highlighting some of the local products available there. Businesses represented include Superiors N Main, Cafe Valley, Beehive, Sweet P's, Dunford, Farr's, and Aggie Chocolate Factory.","Olsen, Rory (Photographer)",,3/24/2022,,single-page; photographs,Cookies; Local foods; Food--Packaging; Selling--Groceries; Grocery shopping; Grocery trade--United States; Utah--Logan Island; Small business,"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Rory Olsen, HIST 4020 class research, Spring 2022",,,DNO-0146_Island-Market-Local-Products-1,Published with permission of the copyright owner. Further reproduction prohibited without permission.,,Image;StillImage,eng,
DNO-0147_Bundled-Wood,,,"Bundled Wood, Island Market",application/pdf,"Locally bundled wood available for sale in the Island Market. Lable on the wood shows it may have been contributed by Sid Waite from nearby Hyde Park, Utah. ","Lehenbauer, Sydney (Photographer)",,3/26/2022,,single-page; photographs,Wood products; Selling--Groceries; Grocery trade--United States; Utah--Logan Island; Small business,"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Sydney Lehenbauer, HIST 4020 class research, Spring 2022",,,DNO-0147_Bundled-Wood,Published with permission of the copyright owner. Further reproduction prohibited without permission.,,Image;StillImage,eng,
SCABOOK043No008_Partial,,,Island Market: Buying nostalgia,application/pdf,"This is an article written on the Island Market, included in ""A sense of place : local spots and what they mean to people"" published as a supplement to the Herald Journal, Logan, Utah, October 25, 2009.","Wheeler, Emilie H. (Author)",,10/5/2009,,single-page; photographs,Utah--Logan Island; Consumers; Selling--Groceries; Grocery trade--United States; Articles; Small business,"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Utah State University, Merrill-Cazier Library, Special Collections and Archives,  Book Collection (43, No. 8, Pages 18-19) ",,,SCABOOK043No008_Partial,"Reproduction for publication, exhibition, web display or commercial use is only permissible with the consent of the USU Merrill-Cazier Library, Special Collections & Archives (email: SCWeb@usu.edu])",,Image;StillImage,eng,
SCAP0322Bx001-013,,,Plat Map for the Island Area – Island,image/jpeg,This is a plat map for the Logan Island area. The Island Market is now located at Lot 3 Block 19 Plat C.,"Martineau, James H. (Surveyor)",,1860-1896,,single-page; photographs,Utah--Logan Island; Plats (maps),"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Utah State University, Merrill-Cazier Library, Special Collections and Archives, Cache County Plat Maps (PO322, Box 1, Image 13)",,,SCAP0322Bx001-013,"Reproduction for publication, exhibition, web display or commercial use is only permissible with the consent of the USU Merrill-Cazier Library, Special Collections & Archives (email: SCWeb@usu.edu])",,Image;StillImage,eng,
SCAP0322Bx001-017,,,Plat Map for the Island Area - Plats,image/jpeg,This is a plat map for the Logan city area. The Island Market is located at Lot 3 Block 19 Plat C.,"Martineau, James H. (Surveyor)",,1860-1896,,single-page; photographs,Utah--Logan; Plats (maps),"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Utah State University, Merrill-Cazier Library, Special Collections and Archives, Cache County Plat Maps (PO322, Box 1, Image 17)",,,SCAP0322Bx001-017,"Reproduction for publication, exhibition, web display or commercial use is only permissible with the consent of the USU Merrill-Cazier Library, Special Collections & Archives (email: SCWeb@usu.edu])",,Image;StillImage,eng,
SCAP0245SmallPOCollBx005Img001,,,Photograph of the Island Area ,image/jpeg,"View of the island area taken in 1895. Black and white silver gelatin print or collodion printing-out paper prints, 13cm. x 18cm. or smaller, view looking east over the ""Island"" area of Logan, Utah from the Boulevard also shows the mouth of Logan Canyon and Logan Peak, canal in the foreground. ",Unknown,,1895,,single-page; photographs,Bear River Mountains (Utah),"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Utah State University, Merrill-Cazier Library, Special Collections and Archives, Assorted Photograph Collections, 1860-1999 (USU_SmallPOColl, Box 5, Image 245)",,,SCAP0245SmallPOCollBx005Img001,"Reproduction for publication, exhibition, web display or commercial use is only permissible with the consent of the USU Merrill-Cazier Library, Special Collections & Archives (email: SCWeb@usu.edu])",,Image;StillImage,eng,
SCAA-0158,,,Logan Island,image/jpeg,"The Logan Island area, from River Heights, with Utah State University campus in the distance, after construction of steel retaining wall along 4th North widening around university campus.",Unknown,,1962,,single-page; photographs,Utah--Logan Island; Farms,"Logan, Utah",,,,"Digital Initiatives Unit, Merrill-Cazier Library (Publisher – digital)","Utah State University, Merrill-Cazier Library, Special Collections and Archives, A-Board historical photograph collection, (USU_ABoard1, Drawer 1,  A-0158)",,,SCAA-0158,"Reproduction for publication, exhibition, web display or commercial use is only permissible with the consent of the USU Merrill-Cazier Library, Special Collections & Archives (email: SCWeb@usu.edu])",,Image;StillImage,eng,
DNO-0148_NEWS-TheJournal1923-04-20-Pg06_LorenzoSkanchyOwnsLands,,,Lorenzo Skanchy Owns Lands Advertisement,image/jpeg,Tax information from 1923 that confirms and verifies the land ownership of Lorenzo Skanchy in the location of the Island Market.,Unknown,,4/20/1923,,single-page; photographs,Newspaper clippings; Utah--Logan Island; Small business,"Logan, Utah",,,,"The Journal (Logan, Utah) 1892-1931 (Publisher – original); Newspapers.com (Publisher – digital)","Newspapers.com. The Journal, April 20, 1923, Page 6. Accessible at:
https://universityofutah.newspapers.com/clip/99210839/lorenzo-skanchy-owns-lands/",,,DNO-0148_NEWS-TheJournal1923-04-20-Pg06_LorenzoSkanchyOwnsLands,Public Domain,,Image;StillImage,eng,
